capability,debian,linuxmint,arch,fedora,alpine,void,gentoo,opensuse
power_mgmt,acpi,acpi,acpi,acpi,acpi,acpi,acpi
audio,alsa-utils,alsa-utils,alsa-utils,alsa-utils,alsa-utils,alsa-utils,alsa-utils
pdf_printer,enscript,enscript,enscript,enscript,enscript,enscript,enscript
gpu_bench,glmark2,glmark2,glmark2,glmark2,glmark2,glmark2,glmark2
3d_demo,mesa-utils,mesa-utils,mesa-demos,mesa-demos,mesa-demos,mesa-demos,mesa-progs
system_info,inxi,inxi,inxi,inxi,inxi,inxi,inxi
monitor_htop,htop,htop,htop,htop,htop,htop
multimedia,ffmpeg,ffmpeg,ffmpeg,ffmpeg,ffmpeg,ffmpeg,ffmpeg
disk_smart,smartmontools,smartmontools,smartmontools,smartmontools,smartmontools,smartmontools,smartmontools
rtc_hwclock,util-linux-extra,util-linux,util-linux,util-linux,util-linux,util-linux,util-linux
stress,stress,stress,stress,stress,stress,stress,stress
tui,stress-ng,stress-ng,stress-ng,stress-ng,stress-ng,stress-ng,stress-ng
upower,upower,upower,upower,upower,upower,upower,upower
video_player,mplayer,mplayer,mplayer,mplayer,mplayer,mplayer,mplayer
